,Similarity Run,Hybrid Run,Difference
faithfulness,0.9357142857142857,0.8672829131652661,0.06843137254901965
answer_relevancy,0.9663701351400966,0.8657724081205712,0.10059772701952541
llm_context_precision_without_reference,0.5154722222057053,0.45863513603893635,0.05683708616676897
context_recall,0.9,1.0,-0.09999999999999998
factual_correctness(mode=f1),0.21100000000000002,0.242,-0.030999999999999972
semantic_similarity,0.9125721008669465,0.9006118908408736,0.011960210026072948
